STATE,State/County FIPS,County Name
CA,6001,ALAMEDA
CA,6013,CONTRA COSTA
CA,6075,SAN FRANCISCO
CO,8001,ADAMS
CO,8005,ARAPAHOE
CO,8031,DENVER
CO,8035,DOUGLAS
CO,8059,JEFFERSON
CT,9007,MIDDLESEX
CT,9009,NEW HAVEN
GA,13063,CLAYTON
GA,13067,COBB
GA,13089,DE KALB
GA,13097,DOUGLAS
GA,13121,FULTON
GA,13135,GWINNETT
GA,13217,NEWTON
GA,13247,ROCKDALE
MD,24003,ANNE ARUNDEL
MD,24005,BALTIMORE
MD,24013,CARROLL
MD,24025,HARFORD
MD,24027,HOWARD
MD,24510,BALTIMORE CITY
MI,26037,CLINTON
MI,26045,EATON
MI,26049,GENESEE
MI,26065,INGHAM
MI,26161,WASHTENAW
MN,27003,ANOKA
MN,27019,CARVER
MN,27037,DAKOTA
MN,27053,HENNEPIN
MN,27123,RAMSEY
MN,27139,SCOTT
MN,27163,WASHINGTON
NM,35001,BERNALILLO
NM,35005,CHAVES
NM,35013,DONA ANA
NM,35017,GRANT
NM,35029,LUNA
NM,35045,SAN JUAN
NM,35049,SANTA FE
NY,36001,ALBANY
NY,36021,COLUMBIA
NY,36039,GENESEE
NY,36057,GREENE
NY,36083,LIVINGSTON
NY,36091,MONROE
NY,36093,MONTGOMERY
NY,36095,ONTARIO
NY,36037,ORLEANS
NY,36051,RENSSELAER
NY,36055,SARATOGA
NY,36069,SCHENECTADY
NY,36073,SCHOHARIE
NY,36117,WAYNE
NY,36123,YATES
OH,39041,DELAWARE
OH,39045,FAIRFIELD
OH,39049,FRANKLIN
OH,39073,HOCKING
OH,39089,LICKING
OH,39097,MADISON
OH,39117,MORROW
OH,39127,PERRY
OH,39129,PICKAWAY
OH,39159,UNION
OR,41005,CLACKAMAS
OR,41051,MULTNOMAH
OR,41067,WASHINGTON
TN,47021,CHEATHAM
TN,47037,DAVIDSON
TN,47043,DICKSON
TN,47147,ROBERTSON
TN,47149,RUTHERFORD
TN,47165,SUMNER
TN,47187,WILLIAMSON
TN,47189,WILSON
UT,49035,SALT LAKE
